graph_id,source,target
0,0,33
0,0,37
0,3,4
0,3,33
0,3,37
0,4,3
0,4,26
0,4,33
0,4,37
0,4,52
0,4,57
0,21,33
0,21,37
0,26,4
0,26,37
0,33,0
0,33,3
0,33,4
0,33,21
0,33,36
0,33,37
0,33,52
0,33,53
0,33,57
0,36,33
0,36,57
0,37,0
0,37,3
0,37,4
0,37,21
0,37,26
0,37,33
0,37,52
0,37,53
0,37,57
0,52,4
0,52,33
0,52,37
0,53,33
0,53,37
0,57,4
0,57,33
0,57,36
0,57,37
0,0,3
0,0,4
0,0,22
0,0,32
0,0,36
0,3,0
0,3,22
0,3,26
0,4,0
0,4,21
0,4,32
0,4,36
0,4,50
0,4,55
0,21,4
0,21,32
0,21,36
0,22,0
0,22,3
0,26,3
0,32,0
0,32,4
0,32,21
0,32,35
0,32,36
0,32,50
0,32,51
0,32,55
0,35,32
0,35,55
0,36,0
0,36,4
0,36,21
0,36,32
0,36,50
0,36,51
0,36,55
0,50,4
0,50,32
0,50,36
0,51,32
0,51,36
0,55,4
0,55,32
0,55,35
0,55,36
1,0,24
1,0,28
1,0,35
1,0,38
1,3,24
1,3,28
1,4,23
1,4,28
1,4,35
1,4,38
1,4,54
1,23,4
1,24,0
1,24,3
1,27,28
1,28,0
1,28,3
1,28,4
1,28,27
1,28,38
1,28,54
1,35,0
1,35,4
1,35,37
1,35,38
1,35,50
1,35,54
1,37,35
1,37,50
1,37,54
1,38,0
1,38,4
1,38,28
1,38,35
1,38,49
1,38,54
1,49,38
1,50,35
1,50,37
1,53,54
1,54,4
1,54,28
1,54,35
1,54,37
1,54,38
1,54,53
1,0,3
1,0,4
1,0,22
1,0,23
1,0,27
1,0,33
1,3,0
1,3,23
1,3,27
1,4,0
1,4,22
1,4,27
1,4,33
1,4,36
1,22,0
1,22,4
1,23,0
1,23,3
1,26,27
1,27,0
1,27,3
1,27,4
1,27,26
1,27,36
1,33,0
1,33,4
1,33,35
1,33,36
1,33,47
1,33,48
1,33,51
1,35,33
1,35,47
1,35,51
1,36,4
1,36,27
1,36,33
1,36,46
1,36,51
1,46,36
1,47,33
1,47,35
1,48,33
1,51,33
1,51,35
1,51,36
2,0,29
2,0,33
2,0,37
2,3,23
2,3,27
2,3,33
2,3,37
2,4,22
2,4,27
2,4,33
2,4,37
2,22,4
2,23,3
2,27,3
2,27,4
2,29,0
2,33,0
2,33,3
2,33,4
2,33,37
2,33,52
2,33,56
2,37,0
2,37,3
2,37,4
2,37,33
2,37,56
2,52,33
2,56,33
2,56,37
2,0,3
2,0,4
2,0,22
2,0,32
2,0,36
2,3,0
2,3,4
2,3,22
2,3,26
2,3,32
2,3,36
2,3,56
2,4,0
2,4,3
2,4,21
2,4,26
2,4,32
2,4,36
2,4,56
2,21,4
2,22,0
2,22,3
2,26,3
2,26,4
2,32,0
2,32,3
2,32,4
2,32,35
2,32,36
2,32,52
2,32,56
2,35,32
2,35,56
2,36,0
2,36,3
2,36,4
2,36,32
2,36,56
2,52,32
2,56,3
2,56,4
2,56,32
2,56,35
2,56,36
3,0,26
3,4,36
3,22,26
3,25,26
3,26,0
3,26,22
3,26,25
3,32,50
3,32,54
3,35,50
3,35,54
3,36,4
3,50,32
3,50,35
3,50,54
3,53,54
3,54,32
3,54,35
3,54,50
3,54,53
3,0,3
3,0,4
3,0,22
3,0,32
3,3,0
3,3,22
3,3,26
3,4,0
3,4,32
3,22,0
3,22,3
3,26,3
3,32,0
3,32,4
3,32,35
3,32,36
3,32,53
3,32,57
3,35,32
3,35,53
3,35,57
3,36,32
3,53,32
3,53,35
3,53,57
3,57,32
3,57,35
3,57,53
4,0,22
4,0,26
4,0,32
4,0,36
4,3,22
4,3,26
4,4,32
4,4,36
4,4,52
4,22,0
4,22,3
4,26,0
4,26,3
4,32,0
4,32,4
4,32,35
4,32,36
4,32,47
4,32,48
4,32,52
4,35,32
4,35,43
4,35,48
4,35,52
4,36,0
4,36,4
4,36,32
4,36,52
4,43,35
4,47,32
4,48,32
4,48,35
4,48,52
4,52,4
4,52,32
4,52,35
4,52,36
4,52,48
4,0,3
4,0,4
4,0,20
4,0,24
4,0,30
4,0,34
4,3,0
4,3,20
4,3,24
4,3,30
4,4,0
4,4,19
4,4,30
4,4,34
4,19,4
4,20,0
4,20,3
4,24,0
4,24,3
4,30,0
4,30,3
4,30,4
4,30,33
4,30,34
4,30,45
4,30,46
4,30,50
4,33,30
4,33,46
4,33,50
4,34,0
4,34,4
4,34,30
4,45,30
4,46,30
4,46,33
4,46,50
4,50,30
4,50,33
4,50,46
5,0,19
5,0,20
5,0,31
5,3,24
5,4,31
5,4,35
5,8,26
5,19,0
5,19,51
5,20,0
5,24,3
5,26,8
5,31,0
5,31,4
5,31,35
5,31,52
5,31,53
5,35,4
5,35,31
5,47,52
5,51,19
5,51,52
5,52,31
5,52,47
5,52,51
5,53,31
5,0,4
5,0,22
5,0,23
5,0,33
5,3,27
5,4,0
5,4,22
5,4,33
5,4,37
5,22,0
5,22,4
5,22,49
5,23,0
5,27,3
5,33,0
5,33,4
5,33,37
5,33,50
5,37,4
5,37,33
5,45,49
5,45,50
5,49,22
5,49,45
5,49,50
5,50,33
5,50,45
5,50,49
6,0,3
6,0,4
6,0,22
6,0,23
6,0,27
6,0,33
6,0,37
6,3,0
6,3,22
6,3,23
6,3,27
6,4,0
6,4,22
6,4,33
6,4,37
6,4,57
6,22,0
6,22,3
6,22,4
6,22,27
6,22,33
6,22,37
6,23,0
6,23,3
6,23,27
6,27,0
6,27,3
6,27,22
6,27,23
6,33,0
6,33,4
6,33,22
6,33,36
6,33,37
6,33,52
6,33,53
6,33,54
6,33,57
6,36,33
6,36,53
6,36,57
6,37,0
6,37,4
6,37,22
6,37,33
6,37,52
6,37,57
6,52,33
6,52,37
6,53,33
6,53,36
6,53,57
6,54,33
6,57,4
6,57,33
6,57,36
6,57,37
6,57,53
7,0,22
7,0,26
7,0,32
7,0,36
7,3,22
7,3,26
7,4,21
7,4,26
7,4,32
7,4,36
7,21,4
7,22,0
7,22,3
7,26,0
7,26,3
7,26,4
7,26,32
7,32,0
7,32,4
7,32,26
7,32,35
7,32,36
7,32,49
7,32,53
7,35,32
7,35,49
7,35,53
7,36,0
7,36,4
7,36,32
7,36,53
7,45,49
7,49,32
7,49,35
7,49,45
7,49,53
7,53,32
7,53,35
7,53,36
7,53,49
7,0,3
7,0,4
7,0,21
7,0,25
7,0,31
7,0,35
7,3,0
7,3,25
7,4,0
7,4,20
7,4,25
7,4,31
7,4,35
7,20,4
7,21,0
7,21,25
7,25,0
7,25,3
7,25,4
7,25,21
7,25,31
7,25,35
7,31,0
7,31,4
7,31,25
7,31,34
7,31,35
7,31,48
7,31,52
7,34,31
7,34,48
7,34,52
7,35,0
7,35,4
7,35,25
7,35,31
7,48,31
7,48,34
7,48,52
7,52,31
7,52,34
7,52,48
8,21,32
8,21,36
8,26,58
8,32,21
8,36,21
8,58,26
8,0,3
8,0,4
8,0,22
8,0,26
8,0,32
8,0,36
8,3,0
8,3,4
8,3,22
8,3,26
8,3,32
8,3,36
8,4,0
8,4,3
8,4,21
8,4,26
8,4,32
8,4,36
8,4,53
8,4,58
8,21,4
8,22,0
8,22,3
8,22,26
8,26,0
8,26,3
8,26,4
8,26,22
8,26,32
8,26,36
8,32,0
8,32,3
8,32,4
8,32,26
8,32,35
8,32,36
8,32,53
8,32,54
8,32,55
8,32,58
8,35,32
8,35,54
8,35,58
8,36,0
8,36,3
8,36,4
8,36,26
8,36,32
8,36,53
8,36,58
8,53,4
8,53,32
8,53,36
8,54,32
8,54,35
8,55,32
8,58,4
8,58,32
8,58,35
8,58,36
9,0,22
9,0,32
9,0,36
9,3,22
9,3,26
9,4,21
9,4,32
9,4,36
9,4,51
9,21,4
9,22,0
9,22,3
9,26,3
9,32,0
9,32,4
9,32,35
9,32,36
9,32,46
9,32,47
9,32,51
9,35,32
9,35,47
9,35,51
9,36,0
9,36,4
9,36,32
9,36,46
9,36,51
9,43,47
9,46,32
9,46,36
9,46,47
9,47,32
9,47,35
9,47,43
9,47,46
9,47,51
9,51,4
9,51,32
9,51,35
9,51,36
9,51,47
9,0,3
9,0,4
9,0,23
9,0,34
9,0,38
9,3,0
9,4,0
9,4,34
9,4,38
9,23,0
9,34,0
9,34,4
9,34,37
9,34,38
9,34,50
9,34,54
9,37,34
9,37,50
9,37,54
9,38,0
9,38,4
9,38,34
9,38,54
9,45,50
9,50,34
9,50,37
9,50,45
9,54,34
9,54,37
9,54,38
10,0,26
10,4,26
10,26,0
10,26,4
10,32,48
10,32,49
10,32,53
10,35,49
10,35,53
