graph_id,source,target
0,0,3
0,0,4
0,0,22
0,0,32
0,0,36
0,3,0
0,3,22
0,3,26
0,4,0
0,4,21
0,4,32
0,4,36
0,4,50
0,4,55
0,21,4
0,21,32
0,21,36
0,22,0
0,22,3
0,26,3
0,32,0
0,32,4
0,32,21
0,32,35
0,32,36
0,32,50
0,32,51
0,32,55
0,35,32
0,35,55
0,36,0
0,36,4
0,36,21
0,36,32
0,36,50
0,36,51
0,36,55
0,50,4
0,50,32
0,50,36
0,51,32
0,51,36
0,55,4
0,55,32
0,55,35
0,55,36
1,0,3
1,0,4
1,0,22
1,0,23
1,0,27
1,0,33
1,3,0
1,3,23
1,3,27
1,4,0
1,4,22
1,4,27
1,4,33
1,4,36
1,22,0
1,22,4
1,23,0
1,23,3
1,26,27
1,27,0
1,27,3
1,27,4
1,27,26
1,27,36
1,33,0
1,33,4
1,33,35
1,33,36
1,33,47
1,33,48
1,33,51
1,35,33
1,35,47
1,35,51
1,36,4
1,36,27
1,36,33
1,36,46
1,36,51
1,46,36
1,47,33
1,47,35
1,48,33
1,51,33
1,51,35
1,51,36
2,0,3
2,0,4
2,0,22
2,0,32
2,0,36
2,3,0
2,3,4
2,3,22
2,3,26
2,3,32
2,3,36
2,3,56
2,4,0
2,4,3
2,4,21
2,4,26
2,4,32
2,4,36
2,4,56
2,21,4
2,22,0
2,22,3
2,26,3
2,26,4
2,32,0
2,32,3
2,32,4
2,32,35
2,32,36
2,32,52
2,32,56
2,35,32
2,35,56
2,36,0
2,36,3
2,36,4
2,36,32
2,36,56
2,52,32
2,56,3
2,56,4
2,56,32
2,56,35
2,56,36
3,0,3
3,0,4
3,0,22
3,0,32
3,3,0
3,3,22
3,3,26
3,4,0
3,4,32
3,22,0
3,22,3
3,26,3
3,32,0
3,32,4
3,32,35
3,32,36
3,32,53
3,32,57
3,35,32
3,35,53
3,35,57
3,36,32
3,53,32
3,53,35
3,53,57
3,57,32
3,57,35
3,57,53
4,0,3
4,0,4
4,0,20
4,0,24
4,0,30
4,0,34
4,3,0
4,3,20
4,3,24
4,3,30
4,4,0
4,4,19
4,4,30
4,4,34
4,19,4
4,20,0
4,20,3
4,24,0
4,24,3
4,30,0
4,30,3
4,30,4
4,30,33
4,30,34
