source,target,weight,type
1,2,4906,undirected
1,3,5570,undirected
1,4,25247,undirected
1,5,26806,undirected
1,7,6939,undirected
1,8,3496,undirected
1,9,2143,undirected
1,10,3921,undirected
1,11,5978,undirected
1,12,1315,undirected
1,13,7630,undirected
1,14,1427,undirected
1,15,1938,undirected
1,16,320,undirected
1,17,19005,undirected
1,18,3852,undirected
1,19,7585,undirected
1,21,4855,undirected
1,23,16039,undirected
1,24,15046,undirected
1,25,36083,undirected
1,26,9400,undirected
1,27,6876,undirected
1,28,3985,undirected
1,29,20932,undirected
1,30,2152,undirected
1,31,10340,undirected
1,32,10675,undirected
1,34,306,undirected
1,35,2742,undirected
1,36,29086,undirected
1,37,3383,undirected
1,38,2275,undirected
1,39,3675,undirected
1,40,24436,undirected
1,42,1863,undirected
1,43,465,undirected
1,44,601,undirected
1,45,282,undirected
1,46,7202,undirected
1,47,373,undirected
1,48,1370,undirected
1,49,8,undirected
1,50,781,undirected
1,51,376,undirected
1,52,2988,undirected
1,53,7777,undirected
1,54,2256,undirected
1,56,1487,undirected
1,57,4,undirected
1,59,12338,undirected
1,60,7755,undirected
1,61,2905,undirected
1,62,3490,undirected
1,63,1169,undirected
1,64,4928,undirected
1,65,2,undirected
1,66,572,undirected
1,67,2320,undirected
1,70,197,undirected
2,32,9782,undirected
2,1,4906,undirected
2,35,6865,undirected
2,5,247,undirected
2,6,1,undirected
2,8,4401,undirected
2,9,8347,undirected
2,10,10287,undirected
2,11,582,undirected
2,12,3163,undirected
2,14,2655,undirected
2,16,5810,undirected
2,17,465,undirected
2,18,1623,undirected
2,22,1,undirected
2,23,4228,undirected
2,24,3,undirected
2,25,4359,undirected
2,26,1877,undirected
2,30,4951,undirected
2,31,15561,undirected
3,1,5570,undirected
3,4,12139,undirected
3,5,17833,undirected
3,13,1261,undirected
3,19,7169,undirected
3,21,5071,undirected
3,24,2260,undirected
3,27,2631,undirected
3,28,8270,undirected
3,29,16219,undirected
3,36,14090,undirected
3,38,7618,undirected
3,39,11086,undirected
3,40,15675,undirected
3,46,168,undirected
3,48,561,undirected
3,50,59,undirected
3,53,69,undirected
3,54,4607,undirected
3,56,3210,undirected
